date,content,likes,retweets,replies
2024-12-18 01:38:58+00:00,RT @VP: Every American must have the freedom to live safe from gun violence. https://t.co/1wf3TUvcZ8,0,1774,0
2024-12-18 00:46:35+00:00,Every American must have the freedom to live safe from gun violence. https://t.co/1wf3TUvcZ8,9949,1774,5922
2024-11-07 19:15:09+00:00,For the people. Always. https://t.co/jrPavMnVDi,595852,43831,32682
2024-11-06 21:30:17+00:00,"My heart is full today—full of gratitude for the trust you have placed in me, full of love for our country, and full of resolve.",945171,60199,33220
2024-11-06 22:08:59+00:00,"There is an adage: Only when it is dark enough can you see the stars.

I know many people feel like we are entering a dark time. For the benefit of us all, I hope that is not the case. But, America, if it is: Let us fill the sky with the light of a billion brilliant stars.",35008,4091,3106
2024-11-06 22:09:29+00:00,"May the light of optimism, faith, truth, and service guide us—even in the face of setbacks—toward the extraordinary promise of the United States of America.

May God bless you, and may God bless the United States of America. I thank you all.",28563,2415,2262
2024-11-06 21:33:50+00:00,"We must accept the results of this election. 

Earlier today, I spoke with President Trump and congratulated him on his victory. I told him that we will help him and his team with that transition, and we will engage in a peaceful transfer of power.",95518,4685,6397
2024-11-06 20:59:44+00:00,Tune in to watch Vice President Kamala Harris deliver remarks to America https://t.co/Xv1GJHk37K,74757,9689,8252
2024-11-05 23:45:06+00:00,"If you are in line before the polls close, stay in line. 

It is your right to make your voice heard. If you have any trouble casting your ballot, call our Voter Assistance Hotline: 833-336-8683. https://t.co/Y6KeIDU4lq",72175,15018,16627
2024-11-05 23:30:25+00:00,"If you’re in line when the polls close, stay in line, because you have a right to make your voice heard: https://t.co/VbrfuqVy9P https://t.co/JS33XujNNW",25008,4765,2836
2024-11-05 23:08:26+00:00,"I love Gen Z, and I am grateful to our first-time voters for making their voices heard. https://t.co/VbrfuqVy9P https://t.co/h32KTvKkYc",77305,6318,6917
2024-11-05 22:52:31+00:00,"Hopped on the phone to speak with voters (and one future voter) today. Thanks for picking up my call, Jennifer and Sage!

Help us get every last voter to the polls: https://t.co/l8recL55qG https://t.co/AMlhOWdxZh",26136,3051,4408
2024-11-05 21:55:33+00:00,"Today, we have the chance to vote for a future of freedom, opportunity, and justice—not just for some, but for all.

Don’t miss your chance to cast your ballot: https://t.co/VbrfuqVy9P",23489,2945,2534
2024-11-05 21:27:21+00:00,"Let’s chart a new way forward, together: https://t.co/VbrfuqVy9P https://t.co/dFZ9hz0P0Y",30765,4067,3744
2024-11-05 20:30:35+00:00,To everyone who has worked hard and brought back the joy during this campaign—thank you. https://t.co/LalrIXuEjE,127335,9752,6734
2024-11-05 20:00:29+00:00,"Now is your chance. 

Get out there and vote. https://t.co/52t3DWuq2K",43795,5100,2285
2024-11-05 19:33:33+00:00,"Generations of Americans led the fight for freedom—including the freedom to vote. 

Now, the baton is in our hands. Don’t miss your chance.

Make a plan, grab a friend, and vote: https://t.co/VbrfuqVy9P",14055,2286,1785
2024-11-05 19:00:46+00:00,"When we vote, we win. 

https://t.co/VbrfuqVy9P https://t.co/V2DB9teE0k",26261,3956,3531
2024-11-05 18:00:18+00:00,"Already voted? Thank you for making your voice heard.

Now, send this link to three people in your life and make sure they have a plan to vote: https://t.co/VbrfuqVy9P.",11838,2089,2170
2024-11-05 17:30:05+00:00,Election Day is here and the choice is in your hands. Find your polling location at https://t.co/VbrfuqVy9P.,7971,1483,1578
2024-11-05 17:12:14+00:00,"We are finishing this campaign as we started: with optimism, with energy, and with joy. https://t.co/lzoEr5g3GR",309119,19380,11682
2024-11-05 16:05:09+00:00,"Today, we vote for a brighter future.

Polling locations across the country are open. Find yours at https://t.co/VbrfuqVy9P. https://t.co/7pJzch0XJR",20216,3789,3065
2024-11-05 15:49:17+00:00,"When we vote, we win. 

Are you ready to make your voices heard? https://t.co/QTKbENKkGw",52909,8342,6988
2024-11-05 15:15:22+00:00,"When we fight, we win: https://t.co/MykJL0X5gt https://t.co/6xVCo74SZW",60238,7620,6170
2024-11-05 14:31:08+00:00,"Go to https://t.co/VbrfuqVy9P or text VOTE to 30330 for information on how or where to cast your ballot. 

When we vote, we win. https://t.co/euOy24KFi4",11990,2298,2034
2024-11-05 13:53:45+00:00,Follow @TeamKamala for the latest information and updates from our campaign about casting your ballot on Election Day.,7288,1280,1270
2024-11-05 11:30:03+00:00,"💛 Welcome to @TeamKamala! 💛 

Follow us for important election information and JOY all day long.",954,207,107
2024-11-05 13:20:06+00:00,Today is your last chance to make an impact in this election. Help reach every last voter before polls close: https://t.co/fI8FyHWp46 https://t.co/AN1D9zE2C5,11006,2108,1916
2024-11-05 12:34:00+00:00,"Knock on doors. Call voters. Reach out to friends and family. 

Together, we will write the next chapter of the greatest story ever told. https://t.co/hgrnsUe1W0",9254,1899,2449
2024-11-05 11:45:07+00:00,"Your vote is your voice, and your voice is your power. Call the Voter Assistance Hotline at (833) 336-8683 if you need help voting. https://t.co/RI7ixzpudF",13657,5051,1836
2024-11-05 11:21:32+00:00,"Election Day is here. Today, we vote because we love our country and we believe in the promise of America.

Make your voice heard: https://t.co/VbrfuqVy9P",149730,17401,24735
2024-11-05 11:00:32+00:00,"America, this is the moment to make your voices heard. 

Go to https://t.co/VbrfuqVy9P to find everything you need to cast your ballot today. https://t.co/EfEFcxNo0z",43944,8321,3199
2024-11-05 05:08:33+00:00,"Philadelphia, are you ready to make your voices heard?

Thanks for joining us tonight, @Oprah. https://t.co/WD08v8Mcvw",48925,5675,6955
2024-11-05 04:26:10+00:00,"We will vote for a future of opportunity and freedom—not for some, but for all. https://t.co/CFMyo13f6V",22569,3353,2210
2024-11-05 04:02:05+00:00,"As the great Congressman John Lewis reminded us, democracy is not a state—it is an act.

Now is our time to act. And together, we will win: https://t.co/VbrfuqVy9P. https://t.co/P0lBnwXGIE",33832,6265,3491
2024-11-05 02:35:20+00:00,"Georgia, this race is going to be tight until the very end. But together, we will win.

https://t.co/ZaRpcqNdUT https://t.co/aNNFZsRBuZ",26595,3964,2393
2024-11-05 01:40:26+00:00,"Tomorrow. 

https://t.co/VbrfuqVy9P https://t.co/z1Df3LEuP3",75538,17418,3451
2024-11-05 01:25:26+00:00,"Took some time today to hear from voters in Pennsylvania and ask for their support.

There's still time to join us on the doors: https://t.co/ZaRpcqNdUT https://t.co/J7E8ObhEjp",19707,2765,2647
2024-11-05 01:21:53+00:00,"Across America, voters are sharing the joy of making their voices heard this Election Eve. Join me, Governor @Tim_Walz, and special guests for rallies in Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin. Watch now. https://t.co/6SoHdNu3zm",38202,6468,3702
2024-11-05 00:30:23+00:00,"North Carolina: Are you ready to fight for freedom, opportunity, and the promise of America?

Get involved in our campaign: https://t.co/ZaRpcqNdUT https://t.co/tAKyiimto1",10258,1863,2064
2024-11-05 00:15:05+00:00,This is your reminder to… https://t.co/eiIOTQaoMK,38499,4365,2389
2024-11-05 00:00:17+00:00,"America, democracy is on the line. Don’t wait—make your plan to vote: https://t.co/VbrfuqVy9P https://t.co/r5NZcq40HW",13118,2911,2556
2024-11-04 23:40:21+00:00,"Wisconsin: We are not going back, and like your motto tells us, we will move forward.

Help us cross the finish line: https://t.co/ZaRpcqNdUT https://t.co/2IeFGvMb1L",10829,1933,1545
2024-11-04 23:20:16+00:00,It’s time to turn the page. https://t.co/iWBKMjQwA7,85156,12708,9593
2024-11-04 23:00:25+00:00,"Are you ready to make your voice heard tomorrow? 

https://t.co/VbrfuqVy9P https://t.co/ooI7v6Ezrb",20042,3940,2700
2024-11-04 22:45:28+00:00,"To our young leaders: I see you, I see your power, and I see the promise of America in you.

If this is your first time voting, make sure your voice is heard: https://t.co/VbrfuqVy9P https://t.co/jyZurB5OA5",13397,2811,2258
2024-11-04 22:23:21+00:00,"Michigan, are you ready for one of the most consequential elections of our lifetime?

Make your voices heard: https://t.co/VbrfuqVy9P https://t.co/jY6PBZAkIC",9824,1879,1672
2024-11-04 20:46:04+00:00,"There is still time to make a plan to vote this Election Day. 
I am in Allentown to speak with Pennsylvanians about the power of Americans' vote and voice. Tune in now.  https://t.co/JYTjUs7fcr",13964,2814,2314
2024-11-04 20:45:06+00:00,"I am a gun owner, and I believe we can protect the Second Amendment while also passing gun safety laws. 

We need to reinstate the assault weapons ban and pass universal background checks, safe storage laws, and red flag laws to keep our children and communities safe. https://t.co/1863BArzk1",14728,3241,4829
2024-11-04 20:22:21+00:00,"Your vote is your voice, and your voice is your power.

Let’s bring it home, Wisconsin. https://t.co/WA2B2w3dA0",17916,3525,2232
2024-11-04 19:55:23+00:00,"Pennsylvania: Let’s win this.

https://t.co/hgrnsUe1W0 https://t.co/q1gHMCYrBc",34832,4585,2403
2024-11-04 19:42:05+00:00,"RT @DouglasEmhoff: From our family to yours: Kamala will be a President for all of us. 

Tomorrow is Election Day. Go vote! https://t.co/BGPyZXgUlv https://t.co/NcoV7WF0Eq",0,6276,0
2024-11-04 18:39:39+00:00,"From our family to yours: Kamala will be a President for all of us. 

Tomorrow is Election Day. Go vote! https://t.co/BGPyZXgUlv https://t.co/NcoV7WF0Eq",31032,6276,2218
2024-11-04 19:10:10+00:00,"Buying a home is a symbol of pride and a measure of financial security. 

As president, I will provide $25,000 down payment assistance so more Americans can buy their first home. https://t.co/5B8FQT1ULj",9420,2009,4446
2024-11-04 18:34:13+00:00,I believe in the promise of America. https://t.co/1EWMI67702,30753,5189,2966
2024-11-04 18:03:06+00:00,"Throughout my career, I have had one client: the people.

I took on big banks and delivered $20 billion for American homeowners, stood up for veterans and students, and prosecuted transnational criminal organizations.

As president, I will continue to put you first. https://t.co/wGJTOTYu5l",23082,4298,5562
2024-11-04 17:27:31+00:00,"My mother, Dr. Shyamala Gopalan Harris, came to the United States from India at 19. She taught me and my sister, Maya, about courage and determination. 

It is thanks to her that I am ready to lead us forward. https://t.co/rVdVAIylTe",69165,10952,5200
2024-11-04 16:46:18+00:00,I will be a president for all Americans. https://t.co/xTzSzpfjaE,112529,13308,9797
2024-11-04 16:17:08+00:00,"We have capped insulin at $35/month and prescription drug costs at $2,000/year for seniors.

As president, I will continue to take on Big Pharma to make prescriptions more affordable—and we will cap the costs of insulin and prescription drugs for all Americans. https://t.co/4kGolPnMCp",7048,1877,2251
2024-11-04 15:55:36+00:00,"Tomorrow, we choose. https://t.co/vGTmWhRdtz",39274,6942,3940
2024-11-04 14:30:26+00:00,I will never forget where I come from. And I will never stop fighting for working and middle class families. https://t.co/BuUVybvb2Z,19701,4097,4913
2024-11-04 13:50:04+00:00,"Reproductive freedom is on the ballot.

Make your plan to vote: https://t.co/VbrfuqVy9P",16152,3096,5211
2024-11-04 13:02:05+00:00,"With your help, we will win this. 
https://t.co/fI8FyHWp46 https://t.co/NL0c9hf31V",5475,1359,1624
2024-11-04 12:40:05+00:00,"Tomorrow, we will make our voices heard. 

Find your polling place and make a plan to vote at https://t.co/VbrfuqVy9P. https://t.co/zmkovQenL0",33047,6544,4293
2024-11-04 04:11:05+00:00,"When you love something, you fight for it—and I love this country with all my heart. https://t.co/RzcPLCYjPB",204764,21232,16120
