date,content,likes,retweets,replies
2025-01-06 17:49:24+00:00,"Oh like that time Starmer called @realDonaldTrump a racist and said the British government should do everything to stop him?

Or when Starmer sent British Labour Party members to campaign in the US against President Trump this year?

https://t.co/5R28WgZIj0",202998,43723,14469
2025-01-06 12:16:01+00:00,"BREAKING: Macron accuses Elon Musk of election interference.

""Who would have thought, if we had been told that the owner of one of the largest social networks in the world would support the new international reactionary movement and intervene directly in elections."" https://t.co/OcFLQ9du08",30200,5798,9610
2025-01-07 11:16:49+00:00,True,15413,2242,2417
2025-01-07 01:51:17+00:00,"“Elon Musk has a deep care about humanity, about getting us to the transition to a sustainable energy, about human civilization.” https://t.co/02dhkHl2tx",1151,208,198
2025-01-07 11:15:48+00:00,Wow,18825,3742,1617
2025-01-06 21:34:24+00:00,"Norway: the Progress Party forced Statistics Norway to release ethnic crime data. 

Almost half of young Somali men in Oslo (483 out of 1000) got caught and charged with violent crime. 

Prosecution rate for violent crime in Oslo among men age 15-24, 2021-23. https://t.co/EU5ObmNNfo",7114,1773,367
2025-01-07 11:06:24+00:00,🫃,52989,9289,2493
2025-01-07 11:05:02+00:00,"Bill Gates has donated over $319 million to the mainstream media, including the BBC.

Why is nobody ever complaining about Bill Gates interference?

Because they are bought and paid for.",17662,4657,709
2025-01-07 11:05:58+00:00,🫃,49588,6368,2190
2025-01-07 04:10:56+00:00,So Bill Gates is worried about foreign billionaires interfering in other countries. https://t.co/eqSMMNVYBR,5253,1263,339
2025-01-07 10:56:12+00:00,"RT @MarioNawfal: 🚨🇦🇷MILEI: ELON RESCUED X FROM WOKE SOCIALISTS

He praised X’s free-speech transformation under Elon, saying the platform now provides a ""leveled playing field,"" exposing the left’s ""inferiority"" and inability to compete without silencing others:

""Luckily X has saved us from the real dictatorship of woke socialism that had contaminated this network.

Before there was censorship on their side and now there is a leveled playing field and they can't stand it.

Will they ever realize that the claim for an uneven playing field to their favor is a declaration of inferiority?""

Source: @JMilei, @ArgMilei",0,1511,0
2025-01-07 10:40:42+00:00,"🚨🇦🇷MILEI: ELON RESCUED X FROM WOKE SOCIALISTS

He praised X’s free-speech transformation under Elon, saying the platform now provides a ""leveled playing field,"" exposing the left’s ""inferiority"" and inability to compete without silencing others:

""Luckily X has saved us from the real dictatorship of woke socialism that had contaminated this network.

Before there was censorship on their side and now there is a leveled playing field and they can't stand it.

Will they ever realize that the claim for an uneven playing field to their favor is a declaration of inferiority?""

Source: @JMilei, @ArgMilei",10726,1511,482
2025-01-07 10:55:04+00:00,"RT @bariweiss: The problem with Trudeau’s government is not the name at the top of the ticket. The problem is bad ideas, strongly held.

The comprehensive failure of Justin Trudeau:

https://t.co/HjAZuXENqy",0,1467,0
2025-01-07 02:28:46+00:00,"The problem with Trudeau’s government is not the name at the top of the ticket. The problem is bad ideas, strongly held.

The comprehensive failure of Justin Trudeau:

https://t.co/HjAZuXENqy",9804,1467,453
2025-01-07 10:54:17+00:00,RT @ezralevant: George Soros didn’t just foment mass immigration in Europe. He did it in Canada too — and Trudeau tried to hide it. cc. @elonmusk,0,1995,0
2025-01-07 08:32:49+00:00,George Soros didn’t just foment mass immigration in Europe. He did it in Canada too — and Trudeau tried to hide it. cc. @elonmusk,8232,1995,286
2022-01-22 22:00:34+00:00,"Rebel News has obtained 28 pages of department briefing notes and emails that detail the partnership between the Canadian government and George Soros' Open Society Foundation.

https://t.co/4nMnPVQHtY",2010,1033,116
2025-01-07 10:51:03+00:00,"My British grandmother, Cora Amelia Robinson, was an important part of my childhood. She was very strict, but also kind and I could always count on her.

She grew up very poor in England during the Great Depression only to be bombed in WW2. To earn money for food, she cleaned houses, leaving me with a lasting respect for those who do so.

My Nana was one of the poor working-class girls with no one to protect her who might have been abducted in present day Britain.",128993,17180,7428
2025-01-07 10:37:30+00:00,🇬🇧🇬🇧,47819,5982,2784
2025-01-07 08:23:07+00:00,"Elon Musk calling LibDem leader Ed Davey a 'snivelling cretin' definitely wins the internet.

@elonmusk is on 🔥. https://t.co/Jqqrj4LjOD",15861,2316,482
