date,content,likes,retweets,replies
2024-11-29 20:42:38+00:00,"I do not write posts on X.
I tweet links to posts on other platforms.
I like and retweet (occasionally)
I comment on friends' tweets (rarely)
Follow me on...⬇️⬇️⬇️",320,19,127
2025-01-07 15:05:39+00:00,"RT @faunarobotics: 🚀 We’re Hiring at Fauna Robotics! 🦾✨

We’re building safe, lightweight robots to power the next generation of embodied AI in human-centric spaces. 

👉 Check out our open roles and apply here: https://t.co/pTID0KnhGW",0,1,0
2025-01-07 14:45:18+00:00,"🚀 We’re Hiring at Fauna Robotics! 🦾✨

We’re building safe, lightweight robots to power the next generation of embodied AI in human-centric spaces. 

👉 Check out our open roles and apply here: https://t.co/pTID0KnhGW",6,1,0
2025-01-06 23:50:20+00:00,"RT @PyTorch: New low-bit embedding and linear operators for Arm CPUs are now in TorchAO, PyTorch’s low-precision library! Compatible with eager, torch.compile, AOTI, and ExecuTorch, they’re built for flexibility and ready for #torchchat.

👋Learn more: https://t.co/dFQsz47o1e

#pytorch #opensource",0,33,0
2025-01-06 18:17:51+00:00,"New low-bit embedding and linear operators for Arm CPUs are now in TorchAO, PyTorch’s low-precision library! Compatible with eager, torch.compile, AOTI, and ExecuTorch, they’re built for flexibility and ready for #torchchat.

👋Learn more: https://t.co/dFQsz47o1e

#pytorch #opensource",182,33,2
2025-01-06 23:25:19+00:00,"RT @JitendraMalikCV: I'm happy to post course materials for my class at UC Berkeley ""Robots that Learn"", taught with the outstanding assistance of @ToruO_O.  Lecture videos at https://t.co/jAUdVAJRHS Lecture notes &amp; other course materials at https://t.co/37OAxRAneH",0,212,0
2025-01-06 01:03:49+00:00,"I'm happy to post course materials for my class at UC Berkeley ""Robots that Learn"", taught with the outstanding assistance of @ToruO_O.  Lecture videos at https://t.co/jAUdVAJRHS Lecture notes &amp; other course materials at https://t.co/37OAxRAneH",1115,212,16
2025-01-06 22:57:58+00:00,"RT @SVG__Collection: John Coltrane Quartet performing “Impressions”

Live footage of this band is a treasure… https://t.co/KzoHv9r6IO",0,811,0
2025-01-04 22:36:30+00:00,"John Coltrane Quartet performing “Impressions”

Live footage of this band is a treasure… https://t.co/KzoHv9r6IO",3296,811,31
2025-01-06 22:57:08+00:00,"RT @PessimistsArc: Many really smart people are predicting the end of work in context of AI. 

So it is worth remembering Einstein said automation was main cause of the Great Depression. 

https://t.co/MQCQhEHaJn",0,12,0
2025-01-05 15:24:58+00:00,"Many really smart people are predicting the end of work in context of AI. 

So it is worth remembering Einstein said automation was main cause of the Great Depression. 

https://t.co/MQCQhEHaJn",57,12,8
2025-01-06 22:55:27+00:00,"RT @ClementDelangue: Cool to see @ylecun joining the top 10 of most followed on HF! If you haven't followed him yet, he's here: https://t.co/fYsjVU5Tal 

(and leaderboard by @mvaloatto is here: https://t.co/dL1ibnPC5c) https://t.co/9J7WUhi0bg",0,12,0
2025-01-03 11:05:09+00:00,"Cool to see @ylecun joining the top 10 of most followed on HF! If you haven't followed him yet, he's here: https://t.co/fYsjVU5Tal 

(and leaderboard by @mvaloatto is here: https://t.co/dL1ibnPC5c) https://t.co/9J7WUhi0bg",308,12,10
2025-01-05 16:53:28+00:00,RT @gabrielpeyre: The gradient field defines the steepest descent direction. The gradient flow dynamic defines a segmentation of the space into attraction basins of the local minimizers. https://t.co/qhnj2rCxn9 https://t.co/MtAm8oH0RK https://t.co/NxkxVvADp0,0,138,0
2025-01-04 06:00:01+00:00,The gradient field defines the steepest descent direction. The gradient flow dynamic defines a segmentation of the space into attraction basins of the local minimizers. https://t.co/qhnj2rCxn9 https://t.co/MtAm8oH0RK https://t.co/NxkxVvADp0,878,138,13
2025-01-05 16:53:06+00:00,"RT @PessimistsArc: Older generations get hysterical about younger generations embracing new mediums: novels, comic books, movies, television, video games.

Any rational assessment of a new medium as it relates to kids must acknowledge this dynamic, and control for it. Few seem to be doing this.",0,35,0
